ciclo;(3er. Ciclo E.E.B., Educación Media o el ciclo_id al que correpondan los grados_cursos);;;;;;;;;;;
etapa;1ra.;;;;;;;;;;;
tipo_prueba;Parcial;;;;;;;;;;;
botones para excel, pdf e impresión;;;;;;;;;;;;
FECHA;7MO. GRADO A;7MO. GRADO A;7MO. GRADO A;7MO. GRADO B;7MO. GRADO B;7MO. GRADO B;8VO. GRADO A;8VO. GRADO A;8VO. GRADO A;8VO. GRADO B;8VO. GRADO B;8VO. GRADO B;9NO. GRADO A;9NO. GRADO A;9NO. GRADO A;9NO. GRADO B;9NO. GRADO B;9NO. GRADO B
13/04/2026;12;;;22;;;24;;;22;;;20;5;;15;5;
14/04/2026;18;;;32;;;12;30;;30;;;18;;;18;30;
16/04/2026;31;;;31;;;11;10;;11;;;4;;;12;;
17/04/2026;20;;;20;;;4;;;4;;;11;30;;24;11;
20/04/2026;24;;;12;;;15;7;;5;6;;31;;;20;6;
21/04/2026;30;;;30;;;18;;;21;;;32;;;4;;
22/04/2026;22;;;24;;;32;;;7;;;22;12;;32;7;
23/04/2026;10;;;10;;;20;;;10;;;7;;;21;;
24/04/2026;4;;;21;;;31;5;;20;;;24;10;;31;10;
27/04/2026;31;;;5;;;;;;24;;;21;;;;;
28/04/2026;5;;;;;;21;;;12;;;;;;22;;
29/04/2026;7;;;15;;;22;;;32;;;15;;;;;
04/05/2026;;;;6;;;;;;15;;;;;;;;
05/05/2026;;;;4;;;;;;;;;;;;;;
06/05/2026;32;6;;18;;;;;;;;;;;;;;
07/05/2026;4;;;7;;;;;;18;;;;;;;;
08/05/2026;11;;;11;;;;;;31;;;;;;;;
