ciclo;(3er. Ciclo E.E.B., Educación Media o el ciclo_id al que correpondan los grados_cursos);;;;;;;;;;;
etapa;1ra.;;;;;;;;;;;
tipo_prueba;Parcial;;;;;;;;;;;
botones para excel, pdf e impresión;;;;;;;;;;;;
FECHA;1ER. CURSO BC A;1ER. CURSO BC A;1ER. CURSO BC A;1ER. CURSO BC B;1ER. CURSO BC B;1ER. CURSO BC B;2DO. CURSO BC A;2DO. CURSO BC A;2DO. CURSO BC A;2DO. CURSO BC B;2DO. CURSO BC B;2DO. CURSO BC B;3ER. CURSO BC A;3ER. CURSO BC A;3ER. CURSO BC A;3ER. CURSO BC B;3ER. CURSO BC B;3ER. CURSO BC B
13/04/2026;19;;;7;;;19;;;18;7;;19;25;;25;;
14/04/2026;16;;;24;;;15;33;;;;;2;;;20;;
15/04/2026;12;;;26;;;17;12;;14;;;14;;;;;
16/04/2026;1;;;12;;;24;;;13;;;20;;;14;;
20/04/2026;18;;;3;;;14;;;;;;29;7;;14;;
21/04/2026;24;;;17;33;;20;;;27;33;;18;;;18;;
22/04/2026;17;;;23;;;27;;;5;6;;5;6;;5;6;
23/04/2026;20;;;;;;13;;;;;;;;;17;;
24/04/2026;14;33;;18;5;;6;5;;34;;;24;;;33;12;
27/04/2026;27;;;14;;;18;;;;;;;;;19;;
28/04/2026;3;;;20;;;;;;3;;;8;;;;;
29/04/2026;26;;;19;;;;;;19;;;28;;;28;;
04/05/2026;23;;;27;;;3;;;24;;;;;;29;;
05/05/2026;;;;;;;;;;20;;;;;;2;;
06/05/2026;7;;;16;;;;;;;;;14;;;;;
07/05/2026;;;;1;;;7;;;17;;;17;;;24;7;
08/05/2026;9;5;;9;6;;34;;;15;;;12;33;;7;;
