ciclo;(3er. Ciclo E.E.B., Educación Media o el ciclo_id al que correpondan los grados_cursos);;;;;;;;;;;
etapa;1ra.;;;;;;;;;;;
tipo_prueba;Cierre;;;;;;;;;;;
botones para excel, pdf e impresión;;;;;;;;;;;;
FECHA;7MO. GRADO A;7MO. GRADO A;7MO. GRADO A;7MO. GRADO B;7MO. GRADO B;7MO. GRADO B;8VO. GRADO A;8VO. GRADO A;8VO. GRADO A;8VO. GRADO B;8VO. GRADO B;8VO. GRADO B;9NO. GRADO A;9NO. GRADO A;9NO. GRADO A;9NO. GRADO B;9NO. GRADO B;9NO. GRADO B
01/06/2026;22;;;22;;;24;;;22;;;20;;;5;6;
02/06/2026;21;30;;30;;;;;;30;;;22;32;;18;;
03/06/2026;5;6;;18;;;22;;;7;;;21;;;32;7;
04/06/2026;31;;;10;;;11;10;;10;;;7;;;21;;
05/06/2026;11;;;20;11;;31;;;4;;;7;30;;11;10;
08/06/2026;12;;;12;;;15;;;24;;;5;;;15;20;
09/06/2026;18;;;4;;;12;30;;12;;;18;;;30;;
10/06/2026;7;;;15;;;18;;;32;;;;;;22;12;
11/06/2026;4;;;31;;;20;;;18;;;4;;;24;;
15/06/2026;24;;;5;6;;7;;;15;5;;31;;;;;
16/06/2026;15;;;32;;;21;;;21;;;;;;4;;
17/06/2026;32;;;24;;;32;;;;;;12;15;;;;
18/06/2026;10;;;7;;;4;;;11;;;;;;12;;
19/06/2026;20;;;21;;;5;6;;20;31;;24;11;;31;;
