ciclo;(3er. Ciclo E.E.B., Educación Media o el ciclo_id al que correpondan los grados_cursos);;;;;;;;;;;
etapa;1ra.;;;;;;;;;;;
tipo_prueba;Cierre;;;;;;;;;;;
botones para excel, pdf e impresión;;;;;;;;;;;;
FECHA;1ER. CURSO BC A;1ER. CURSO BC A;1ER. CURSO BC A;1ER. CURSO BC B;1ER. CURSO BC B;1ER. CURSO BC B;2DO. CURSO BC A;2DO. CURSO BC A;2DO. CURSO BC A;2DO. CURSO BC B;2DO. CURSO BC B;2DO. CURSO BC B;3ER. CURSO BC A;3ER. CURSO BC A;3ER. CURSO BC A;3ER. CURSO BC B;3ER. CURSO BC B;3ER. CURSO BC B
01/06/2026;23;;;27;;;19;;;7;;;29;;;25;;
02/06/2026;14;;;20;33;;15;;;33;20;;2;;;2;20;
03/06/2026;17;12;;26;16;;;;;5;6;;6;5;;28;;
04/06/2026;1;20;;23;12;;17;;;17;;;14;;;7;;
05/06/2026;5;6;;9;5;;14;5;;34;15;;33;12;;24;;
08/06/2026;27;;;7;;;18;;;18;;;7;;;29;;
09/06/2026;16;;;24;;;20;;;3;;;8;;;8;;
10/06/2026;7;;;1;;;;;;14;;;19;;;5;6;
11/06/2026;24;;;19;;;24;;;12;;;24;;;14;;
15/06/2026;18;;;3;;;3;;;19;;;25;;;14;;
16/06/2026;4;;;17;;;;;;27;;;18;;;18;;
17/06/2026;26;;;14;;;27;;;;;;28;;;19;;
18/06/2026;19;;;;;;13;;;13;;;17;20;;17;;
19/06/2026;9;33;;18;6;;34;6;;24;;;14;;;12;33;
