1;Antropología Social;Antropología Social
2;Biología;Biología
3;Ciencias Naturales;Ciencias Naturales
4;Ciencias Naturales y Salud;Ciencias Nat. y Salud
5;Desarrollo Personal (Aprender a Amar);D. P. (Aprender a Amar)
6;Desarrollo Personal (Consejo);D. P. (Consejo)
7;Desarrollo Personal (Religión);D. P. (Religión)
8;Economía y Gestión;Economía y Gestión
9;Educación Ambiental;Educación Ambiental
10;Educación Artística (Artes Plásticas);E. A. (A. Plásticas)
11;Educación Artística (Música);E. A. (Música)
12;Educación Física;Educación Física
13;Filosofía;Filosofía
14;Física;Física
15;Formación Ética y Ciudadana;Form. Ética y Ciud.
16;Geología;Geología
17;Guaraní Ñe'e;Guaraní Ñe'e
18;Historia y Geografía;Historia y Geografía
19;Lengua Castellana y Literatura;L. Cast. y Literatura
20;Lengua Extranjera (Inglés);L. Extranjera (Inglés)
21;Lengua y Literatura Castellana;L. y Lit. Castellana
22;Lengua y Literatura Guaraní;L. y Lit. Guaraní
23;Lógica Matemática;Lógica Matemática
24;Matemática;Matemática
25;Metodología de la Investigación;Met. de la Investigación
26;Psicología;Psicología
27;Química;Química
28;Química Plan Común;Química P. C.
29;Química Plan Específico;Química P. E.
30;Trabajo y Tecnología (Ajedrez);T. y T. (Ajedrez)
31;Trabajo y Tecnología (Algoritmo Matemático);T. y T. (Algoritmo Mat.)
32;Trabajo y Tecnología (Informática);T. y T. (Informática)
