asignatura_id;7MO. GRADO A;7MO. GRADO B;8VO. GRADO A;8VO. GRADO B;9NO. GRADO A;9NO. GRADO B;1ER. CURSO BC A;1ER. CURSO BC B;2DO. CURSO BC A;2DO. CURSO BC B;3ER. CURSO BC A;3ER. CURSO BC B
1;;;;;;;40;40;;;;
2;;;;;;;;;;;65;65
3;;;;;;;70;70;70;70;;
4;1;1;1;1;1;1;;;;;;
5;36;36;36;36;36;36;36;36;36;36;36;36
6;36;36;36;36;36;36;36;36;36;36;36;36
7;38;38;38;38;38;38;38;38;38;38;38;38
8;;;;;;;;;;;51;51
9;;;;;;;65;65;;;;
10;24;24;24;24;24;24;;;;;;
11;64;64;64;64;64;64;;;;;;
12;7;7;7;7;7;24;7;7;7;7;7;7
13;;;;;;;;;40;40;;
14;;;;;;;33;33;33;33;33;33
15;71;71;71;71;71;71;;;51;51;;
16;;;;;;;33;33;;;;
17;;;;;;;19;19;19;19;19;19
18;71;71;71;71;71;71;51;51;51;51;51;51
19;;;;;;;67;67;4;4;4;4
20;10;10;10;10;10;10;63;63;63;63;63;63
21;4;4;4;4;67;67;;;;;;
22;68;68;68;68;68;68;;;;;;
23;;;;;;;59;59;;;;
24;59;59;59;59;16;16;2;2;2;2;59;59
25;;;;;;;;;;;70;70
26;;;;;;;40;40;;;;
27;;;;;;;65;65;33;33;;
28;;;;;;;;;;;33;33
29;;;;;;;;;;;65;65
30;60;60;60;60;60;60;;;;;;33
31;;;;;;;;;;;;
32;39;39;39;39;39;39;;;;;;
33;;;;;;;60;60;60;60;60;60
34;;;;;;;;;59;59;;
