1;PRE JARDIN A;M;1
2;PRE JARDIN B;T;1
3;JARDIN A;M;1
4;JARDIN B;T;1
5;PRE ESCOLAR A;M;1
6;PRE ESCOLAR B;T;1
7;1ER. GRADO A;M;2
8;1ER. GRADO B;T;2
9;2DO. GRADO A;M;2
10;2DO. GRADO B;T;2
11;3ER. GRADO A;M;2
12;3ER. GRADO B;T;2
13;4TO. GRADO A;M;3
14;4TO. GRADO B;T;3
15;5TO. GRADO A;M;3
16;5TO. GRADO B;T;3
17;6TO. GRADO A;M;3
18;6TO. GRADO B;T;3
19;7MO. GRADO A;M;4
20;7MO. GRADO B;M;4
21;8VO. GRADO A;M;4
22;8VO. GRADO B;M;4
23;9NO. GRADO A;M;4
24;9NO. GRADO B;M;4
25;1ER. CURSO BC A;M;5
26;1ER. CURSO BC B;M;5
27;2DO. CURSO BC A;M;5
28;2DO. CURSO BC B;M;5
29;3ER. CURSO BC A;M;5
30;3ER. CURSO BC B;M;5
