Día;Hora;7MO. GRADO A;7MO. GRADO B;8VO. GRADO A;8VO. GRADO B;9NO. GRADO A;9NO. GRADO B;1ER. CURSO A;1ER. CURSO B;2DO. CURSO A;2DO. CURSO B;3ER. CURSO A;3ER. CURSO B;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1ra.;24;7;15;22;20;6;18;19;14;19;29;25;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2da.;24;7;15;22;20;5;18;19;14;19;29;25;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3ra.;22;12;7;6;21;15;23;14;19;18;25;29;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4ta.;22;12;7;5;21;15;23;14;19;18;25;29;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5ta.;18;12;22;24;31;21;6;27;3;7;19;14;;;;;;;;;;;;;;;;;;;;;;;;;;
1;6ta.;12;18;22;24;31;21;5;27;3;7;19;14;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7ma.;12;22;24;18;6;20;27;3;18;24;7;19;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8va.;12;22;24;18;5;20;27;3;18;24;7;19;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1ra.;18;30;21;4;32;22;16;20;27;34;2;18;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2da.;18;24;21;4;32;22;16;20;27;33;2;18;;;;;;;;;;;;;;;;;;;;;;;;;;
2;3ra.;30;4;12;21;22;18;23;24;20;27;18;2;;;;;;;;;;;;;;;;;;;;;;;;;;
2;4ta.;24;4;12;21;22;18;24;33;20;27;18;2;;;;;;;;;;;;;;;;;;;;;;;;;;
2;5ta.;24;21;12;30;18;4;24;17;15;3;28;20;;;;;;;;;;;;;;;;;;;;;;;;;;
2;6ta.;24;21;30;12;18;4;24;17;15;3;28;20;;;;;;;;;;;;;;;;;;;;;;;;;;
2;7ma.;21;32;24;12;4;18;3;24;33;20;8;28;;;;;;;;;;;;;;;;;;;;;;;;;;
2;8va.;21;32;18;12;4;30;3;24;34;20;8;28;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1ra.;6;22;24;7;15;32;12;26;17;27;19;14;;;;;;;;;;;;;;;;;;;;;;;;;;
3;2da.;5;22;24;7;15;32;12;26;17;27;19;14;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3ra.;22;18;32;24;22;12;26;7;19;14;28;6;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4ta.;22;18;32;24;22;12;26;7;19;14;28;5;;;;;;;;;;;;;;;;;;;;;;;;;;
3;5ta.;32;24;18;22;21;7;17;14;12;19;6;28;;;;;;;;;;;;;;;;;;;;;;;;;;
